LOINC,MAP_TO,COMMENT
14470-9,21190-4,C trach DNA Cvx Ql PCR
14470-9,50387-0,C trach rRNA Cvx Ql PCR
14471-7,45084-1,C trach DNA Vag Ql PCR
14471-7,53926-2,C trach rRNA Vag Ql PCR
14472-5,21191-2,C trach DNA Urth Ql PCR
14472-5,53925-4,C trach rRNA Urth Ql PCR
14473-3,14472-5,C trach Ag Urth Ql EIA
14476-6,11261-5,
14509-4,21190-4,C trach DNA Cvx Ql PCR
14509-4,50387-0,C trach rRNA Cvx Ql PCR
14510-2,45084-1,C trach DNA Vag Ql PCR
14510-2,53926-2,C trach rRNA Vag Ql PCR
14511-0,21191-2,C trach DNA Urth Ql PCR
14511-0,53925-4,C trach rRNA Urth Ql PCR
14512-8,14511-0,C trach Ag Urth Ql IF
14583-9,26813-6,
14602-7,14601-9,
14659-7,13362-9,
14663-9,10569-2,
1467-0,57098-6,
1469-6,47618-4,
1470-4,25641-2,
1471-2,57099-4,
14714-0,15061-5,
1472-0,25643-8,
14734-8,15068-0,
1473-8,25645-3,
1474-6,57100-0,
1477-9,32317-0,
14786-8,10644-3,
14845-2,10976-9,
14880-9,13539-2,
14897-3,2885-2,
1502-4,1501-6,
15039-1,14685-2,
15042-5,14674-6,
15042-5,2141-0,
15056-5,15055-7,
1508-1,1507-3,
15098-7,56628-1,
15106-8,47109-4,
1511-5,1510-7,
15116-7,15115-9,
15129-0,48058-2,
15129-0,48067-3,
15146-4,16311-3,
15146-4,50800-2,
15153-0,1971-1,
1515-6,1514-9,
1519-8,1518-0,
15277-7,7753-7,
15282-7,6236-4,
1529-7,1528-9,
1531-3,1530-5,
15364-3,26865-6,Meconium testing should be reported in mass content (ex. Units ng/g)
15365-0,15364-3,
15365-0,29278-9,
15370-0,26860-7,Meconium testing should be reported in mass content (ex. Units ng/g)
15371-8,15370-0,
15371-8,29287-0,
15396-5,8039-0,
15405-4,27289-8,Meconium testing should be reported in mass content (ex. Units ng/g)
15406-2,15405-4,
15406-2,29286-2,
1545-3,1544-6,
15518-4,102125-2,
15519-2,102126-0,
15520-0,102127-8,
15521-8,102128-6,
15522-6,102128-6,
15522-6,102129-4,
15522-6,102671-5,
15523-4,102129-4,
15524-2,102130-2,
15525-9,102131-0,
15526-7,102132-8,
15527-5,102133-6,
15528-3,102134-4,
15529-1,102135-1,
15530-9,102136-9,
15531-7,102136-9,
15532-5,102137-7,
15533-3,102138-5,
15534-1,102139-3,
15535-8,102140-1,
15536-6,102141-9,
15537-4,102142-7,
15538-2,102142-7,
15539-0,102143-5,
15540-8,102144-3,
15541-6,102145-0,
15542-4,102146-8,
15543-2,102147-6,
15544-0,102148-4,
15545-7,102149-2,
15546-5,102150-0,
15547-3,102151-8,
15548-1,102152-6,
15549-9,102153-4,
15550-7,102154-2,
15551-5,102155-9,
15552-3,102156-7,
15553-1,102157-5,
15554-9,102158-3,
15555-6,102159-1,
15556-4,102160-9,
15557-2,102161-7,
15558-0,102162-5,
15559-8,102163-3,
15560-6,102164-1,
15561-4,102165-8,
15562-2,102166-6,
15563-0,102167-4,
15564-8,102168-2,
15565-5,102169-0,
15566-3,102170-8,
15567-1,102171-6,
15568-9,102172-4,
15569-7,102173-2,
15570-5,102174-0,
15571-3,102175-7,
15572-1,102176-5,
15573-9,102177-3,
15574-7,102178-1,
15575-4,102179-9,
15576-2,102180-7,
15577-0,102181-5,
15578-8,102182-3,
15579-6,102182-3,
15580-4,102183-1,
15581-2,102184-9,
15582-0,102185-6,
15583-8,102186-4,
15584-6,102187-2,
15585-3,102188-0,
15586-1,102189-8,
15587-9,102190-6,
15588-7,102191-4,
15589-5,102192-2,
15590-3,102193-0,
15591-1,102194-8,
15592-9,102195-5,
15593-7,102196-3,
15594-5,102197-1,
15595-2,102198-9,
15596-0,102199-7,
15597-8,102200-3,
15598-6,102201-1,
15599-4,102202-9,
15601-8,102203-7,
15602-6,102204-5,
15603-4,102205-2,
15604-2,102206-0,
15605-9,102207-8,
15606-7,102208-6,
15607-5,102209-4,
15608-3,102210-2,
15609-1,102210-2,
15610-9,102210-2,
15611-7,102211-0,
15612-5,102212-8,
15613-3,102213-6,
15614-1,102214-4,
15615-8,102215-1,
15616-6,102216-9,
15617-4,102217-7,
15618-2,102218-5,
15619-0,102219-3,
15620-8,102220-1,
15621-6,102221-9,
15622-4,102222-7,
15623-2,102223-5,
15624-0,102224-3,
15625-7,102225-0,
15626-5,102226-8,
15627-3,102227-6,
15628-1,102228-4,
15629-9,102229-2,
15630-7,102230-0,
15631-5,102229-2,
15632-3,102231-8,
15633-1,102232-6,
15634-9,102233-4,
15635-6,102234-2,
15636-4,102235-9,
15637-2,102236-7,
15638-0,102237-5,
15639-8,102238-3,
15640-6,102238-3,
15641-4,102239-1,
15642-2,102240-9,
15643-0,102241-7,
15644-8,102242-5,
15645-5,102243-3,
15646-3,102244-1,
15647-1,102245-8,
15648-9,102200-3,
15649-7,102246-6,
15650-5,102247-4,
15651-3,102248-2,
15652-1,102249-0,
15653-9,102250-8,
15654-7,102251-6,
15655-4,102252-4,
15656-2,102253-2,
15657-0,102254-0,
15658-8,102255-7,
15659-6,102256-5,
15660-4,102257-3,
15661-2,102258-1,
15662-0,102259-9,
15663-8,102260-7,
15664-6,102261-5,
15665-3,102262-3,
15666-1,102263-1,
15667-9,102264-9,
15668-7,102265-6,
15669-5,102266-4,
15670-3,102267-2,
15671-1,102268-0,
15672-9,102269-8,
15673-7,102270-6,
15674-5,102271-4,
15675-2,102272-2,
15676-0,102273-0,
15677-8,102274-8,
15678-6,102275-5,
15679-4,102276-3,
15680-2,102277-1,
15681-0,102278-9,
15682-8,102279-7,
15683-6,102280-5,
15684-4,102281-3,
15685-1,102282-1,
15686-9,102283-9,
15687-7,102284-7,
15688-5,102285-4,
15689-3,102286-2,
15690-1,102287-0,
15691-9,102288-8,
15692-7,102289-6,
15693-5,102290-4,
15694-3,102291-2,
15695-0,102291-2,
15696-8,102292-0,
15697-6,102293-8,
15698-4,102294-6,
15699-2,102295-3,
15700-8,102296-1,
15701-6,102297-9,
15702-4,102298-7,
15703-2,102299-5,
15704-0,102300-1,
15705-7,102301-9,
15706-5,102302-7,
15707-3,102303-5,
15708-1,102304-3,
15709-9,102305-0,
15710-7,102306-8,
15711-5,102307-6,
15712-3,102308-4,
15713-1,102309-2,
15714-9,102310-0,
15715-6,102311-8,
15716-4,102312-6,
15717-2,102313-4,
15718-0,102314-2,
15719-8,102315-9,
15720-6,102316-7,
15721-4,102317-5,
15722-2,102318-3,
15723-0,102319-1,
15724-8,102320-9,
15725-5,102321-7,
15726-3,102322-5,
15727-1,102323-3,
15728-9,102324-1,
15729-7,102325-8,
15730-5,102326-6,
15731-3,102327-4,
15732-1,102328-2,
15733-9,102329-0,
15734-7,102330-8,
15735-4,102331-6,
15736-2,102332-4,
15737-0,102333-2,
15738-8,102334-0,
15739-6,102335-7,
15740-4,102336-5,
15741-2,102337-3,
15742-0,102338-1,
15743-8,102339-9,
15744-6,102340-7,
15745-3,102341-5,
15746-1,102342-3,
15747-9,102343-1,
15748-7,102344-9,
15749-5,102345-6,
15750-3,102345-6,
15751-1,102346-4,
15752-9,102347-2,
15753-7,102348-0,
15754-5,102349-8,
15755-2,102350-6,
15756-0,102351-4,
15757-8,102352-2,
15758-6,102353-0,
15759-4,102354-8,
15760-2,102355-5,
15761-0,102356-3,
15762-8,102357-1,
15763-6,102358-9,
15764-4,102359-7,
15765-1,102360-5,
15766-9,102361-3,
15767-7,102362-1,
15768-5,102363-9,
15769-3,102364-7,
15770-1,102365-4,
15771-9,102366-2,
15772-7,102367-0,
15773-5,102368-8,
15774-3,102369-6,
15775-0,102370-4,
15776-8,102371-2,
15777-6,102372-0,
15778-4,102373-8,
