PATH_TO_ROOT,SEQUENCE,IMMEDIATE_PARENT,CODE,CODE_TEXT
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9,61,LP14082-9,LP442081-8,Bacteria | Throat | Microbiology
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442081-8,1,LP442081-8,17898-8,Bacteria Throat Aerobe Cult
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442081-8,2,LP442081-8,626-2,Bacteria Throat Cult
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442081-8,3,LP442081-8,17899-6,Bacteria Throat Aerobe Cult org #2
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442081-8,4,LP442081-8,17900-2,Bacteria Throat Aerobe Cult org #3
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442081-8,5,LP442081-8,17901-0,Bacteria Throat Aerobe Cult org #4
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442081-8,6,LP442081-8,17902-8,Bacteria Throat Aerobe Cult org #5
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442081-8,7,LP442081-8,17903-6,Bacteria Throat Aerobe Cult org #6
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9,62,LP14082-9,LP442082-6,Bacteria | Tissue and Smears | Microbiology
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442082-6,1,LP442082-6,627-0,Bacteria Tiss Aerobe Cult
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442082-6,2,LP442082-6,628-8,Bacteria Tiss Anaerobe Cult
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442082-6,3,LP442082-6,20474-3,Bacteria Tiss Bx Cult
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442082-6,4,LP442082-6,43408-4,Bacteria Tiss Cult
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442082-6,5,LP442082-6,17904-4,Bacteria Tiss Aerobe Cult org #2
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442082-6,6,LP442082-6,17923-4,Bacteria Tiss Anaerobe Cult org #2
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442082-6,7,LP442082-6,17905-1,Bacteria Tiss Aerobe Cult org #3
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442082-6,8,LP442082-6,17924-2,Bacteria Tiss Anaerobe Cult org #3
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442082-6,9,LP442082-6,17906-9,Bacteria Tiss Aerobe Cult org #4
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442082-6,10,LP442082-6,59051-3,Bacteria Tiss Anaerobe Cult org #4
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442082-6,11,LP442082-6,17907-7,Bacteria Tiss Aerobe Cult org #5
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442082-6,12,LP442082-6,17908-5,Bacteria Tiss Aerobe Cult org #6
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9,63,LP14082-9,LP442083-4,Bacteria | Total parental nutrition | Microbiology
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442083-4,1,LP442083-4,58940-8,Bacteria TPN Cult
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9,64,LP14082-9,LP442084-2,Bacteria | Ulcer | Microbiology
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442084-2,1,LP442084-2,629-6,Deprecated Bacteria Ulcer Aerobe Cult
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9,65,LP14082-9,LP442085-9,Bacteria | Unknown substance | Microbiology
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9.LP442085-9,1,LP442085-9,631-2,Bacteria Usub Aerobe Cult
LP432695-7.LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP14082-9,66,LP14082-9,LP442086-7,Bacteria | Urethra | Microbiology
